video_latent_path,sync_latent_path,caption,duration,audio_path
/workspace/AVE_Dataset/AVE_processed_latents/---1_cCGK4M_224res_24fps.npy,/workspace/AVE_Dataset/AVE_processed_syncs/---1_cCGK4M_224res_24fps.npy,Train horn,8,/workspace/AVE_Dataset/AVE_audio_latent/---1_cCGK4M.npy
/workspace/AVE_Dataset/AVE_processed_latents/--12UOziMF0_224res_24fps.npy,/workspace/AVE_Dataset/AVE_processed_syncs/--12UOziMF0_224res_24fps.npy,Truck,8,/workspace/AVE_Dataset/AVE_audio_latent/--12UOziMF0.npy
/workspace/AVE_Dataset/AVE_processed_latents/--5zANFBYzQ_224res_24fps.npy,/workspace/AVE_Dataset/AVE_processed_syncs/--5zANFBYzQ_224res_24fps.npy,Acoustic guitar,8,/workspace/AVE_Dataset/AVE_audio_latent/--5zANFBYzQ.npy
/workspace/AVE_Dataset/AVE_processed_latents/--9O4XZOge4_224res_24fps.npy,/workspace/AVE_Dataset/AVE_processed_syncs/--9O4XZOge4_224res_24fps.npy,"Female speech, woman speaking",8,/workspace/AVE_Dataset/AVE_audio_latent/--9O4XZOge4.npy
/workspace/AVE_Dataset/AVE_processed_latents/--FJhcfXeow_224res_24fps.npy,/workspace/AVE_Dataset/AVE_processed_syncs/--FJhcfXeow_224res_24fps.npy,Acoustic guitar,8,/workspace/AVE_Dataset/AVE_audio_latent/--FJhcfXeow.npy
/workspace/AVE_Dataset/AVE_processed_latents/--GvhCexa_E_224res_24fps.npy,/workspace/AVE_Dataset/AVE_processed_syncs/--GvhCexa_E_224res_24fps.npy,Acoustic guitar,8,/workspace/AVE_Dataset/AVE_audio_latent/--GvhCexa_E.npy
/workspace/AVE_Dataset/AVE_processed_latents/--HuBNHXu9I_224res_24fps.npy,/workspace/AVE_Dataset/AVE_processed_syncs/--HuBNHXu9I_224res_24fps.npy,"Male speech, man speaking",8,/workspace/AVE_Dataset/AVE_audio_latent/--HuBNHXu9I.npy
/workspace/AVE_Dataset/AVE_processed_latents/--I2373YpgM_224res_24fps.npy,/workspace/AVE_Dataset/AVE_processed_syncs/--I2373YpgM_224res_24fps.npy,Horse,8,/workspace/AVE_Dataset/AVE_audio_latent/--I2373YpgM.npy
/workspace/AVE_Dataset/AVE_processed_latents/--JxAySnD3Y_224res_24fps.npy,/workspace/AVE_Dataset/AVE_processed_syncs/--JxAySnD3Y_224res_24fps.npy,Acoustic guitar,8,/workspace/AVE_Dataset/AVE_audio_latent/--JxAySnD3Y.npy
/workspace/AVE_Dataset/AVE_processed_latents/--R7bBR7hE4_224res_24fps.npy,/workspace/AVE_Dataset/AVE_processed_syncs/--R7bBR7hE4_224res_24fps.npy,Acoustic guitar,8,/workspace/AVE_Dataset/AVE_audio_latent/--R7bBR7hE4.npy
/workspace/AVE_Dataset/AVE_processed_latents/--bSurT-1Ak_224res_24fps.npy,/workspace/AVE_Dataset/AVE_processed_syncs/--bSurT-1Ak_224res_24fps.npy,Acoustic guitar,8,/workspace/AVE_Dataset/AVE_audio_latent/--bSurT-1Ak.npy
