video_latent_path,caption,duration,audio_path
/workspace/AVE_Datasetori/AVE_latents/Rdvy_TVhvho_126res_24fps.npy,Shofar,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/Rdvy_TVhvho_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/RiOloXQBnws_126res_24fps.npy,Clock,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/RiOloXQBnws_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/RlkVC38UKPw_126res_24fps.npy,Clock,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/RlkVC38UKPw_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/RmnYpN3XxXw_126res_24fps.npy,Church bell,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/RmnYpN3XxXw_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/Rnc4N2vVoV8_126res_24fps.npy,Church bell,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/Rnc4N2vVoV8_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/RnoOv3CclYE_126res_24fps.npy,"Rodents, rats, mice",10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/RnoOv3CclYE_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/RoIS0PkFCPo_126res_24fps.npy,Clock,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/RoIS0PkFCPo_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/Ru7m8PyMlVM_126res_24fps.npy,Clock,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/Ru7m8PyMlVM_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/RxLNDhT6uhU_126res_24fps.npy,Shofar,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/RxLNDhT6uhU_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/S1RCREycn4s_126res_24fps.npy,Shofar,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/S1RCREycn4s_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/S3bE2b9p5Mg_126res_24fps.npy,Clock,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/S3bE2b9p5Mg_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/S9VYYZg0t-E_126res_24fps.npy,Clock,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/S9VYYZg0t-E_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/SGOXRiEreBQ_126res_24fps.npy,Clock,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/SGOXRiEreBQ_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/SK9DGzNEKb0_126res_24fps.npy,Clock,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/SK9DGzNEKb0_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/SOMymsNBxHs_126res_24fps.npy,Clock,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/SOMymsNBxHs_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/SV-TQEyCOK8_126res_24fps.npy,Shofar,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/SV-TQEyCOK8_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/SZxC8Y1d27w_126res_24fps.npy,Shofar,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/SZxC8Y1d27w_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/S_AabZx8Dt4_126res_24fps.npy,"Rodents, rats, mice",10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/S_AabZx8Dt4_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/S_n8p_XGq0E_126res_24fps.npy,Shofar,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/S_n8p_XGq0E_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/SbZpkhIbP84_126res_24fps.npy,Clock,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/SbZpkhIbP84_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/SdfCXfi8rEQ_126res_24fps.npy,"Rodents, rats, mice",10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/SdfCXfi8rEQ_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/SiA-LmxRebg_126res_24fps.npy,Church bell,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/SiA-LmxRebg_126res_24fps.npy
/workspace/AVE_Datasetori/AVE_latents/Sqgc73hM6kA_126res_24fps.npy,Church bell,10.00780045351474,/workspace/AVE_Datasetori/AVE_audio_latent/Sqgc73hM6kA_126res_24fps.npy
